Latitude,Longitude,Address,Name,Website,Time Added,Eco & Sustainability Terms,Ethical & Slave-Free Terms,Relational & Direct Terms,Matching Sentences
37.775372,-122.458263,"798 Arguello Blvd, San Francisco, CA 94118",Velo Rouge Cafe,http://www.sfvelorouge.com/,21:47:18,,,,
37.769976,-122.453394,"678-650 Stanyan St, San Francisco, CA 94117",Flywheel Coffee Kiosk,https://flywheelcoffee.com/,21:47:21,,,,
37.773187,-122.450666,"2095 Hayes St, San Francisco, CA 94117",The Sacred Grounds Cafe,https://thesacredgroundscafe.com/,21:47:24,,,,
37.77346,-122.450708,"2078 Hayes St, San Francisco, CA 94117",Manitas Cafe,http://manitascafe.com/,21:47:27,,,,
37.766678,-122.452699,"852 Stanyan St, San Francisco, CA 94117",Lava Java,,21:47:30,,,,
37.769666,-122.450483,"1708 Haight St, San Francisco, CA 94117",Cantata Coffee Company,,21:47:32,,,,
37.769645,-122.451628,"1790 Haight St, San Francisco, CA 94117",Grind & Unwind,https://grindunwindsf.com/,21:47:36,,,,
37.769375,-122.450051,"1673 Haight St, San Francisco, CA 94117",Stanza Coffee Bar,https://www.stanzacoffee.com/,21:47:38,,,,
37.805836,-122.442527,"500 Marina Blvd, San Francisco, CA 94123",Philz Coffee Truck,https://philzcoffee.com/locations/88,21:48:53,sustainably sourced,,,
37.800319,-122.439303,"2197 Chestnut St Ste B, San Francisco, CA 94123",Café Thuma,https://www.thuma.co/pages/sf-cafe-page,21:49:06,"organic, sustainably sourced, eco-friendly",,,
